fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.411,0.238,0.684,14.0,25.0,22.0,9.0,7.0,10.0,23.0
0.402,0.313,0.583,20.0,31.0,21.0,11.0,8.0,13.0,20.0
0.493,0.375,0.619,12.0,33.0,24.0,7.0,4.0,13.0,20.0
0.398,0.286,0.909,7.0,41.0,19.0,10.0,5.0,14.0,14.0
0.472,0.294,0.5,3.0,30.0,12.0,6.0,7.0,15.0,27.0
0.419,0.387,0.731,10.0,31.0,22.0,9.0,5.0,17.0,12.0
0.434,0.143,0.722,23.0,31.0,18.0,9.0,7.0,14.0,27.0
0.416,0.235,0.529,6.0,41.0,17.0,2.0,8.0,9.0,16.0
0.471,0.0,0.722,12.0,32.0,19.0,4.0,5.0,10.0,20.0
0.5,0.364,0.909,9.0,32.0,27.0,4.0,3.0,11.0,19.0
0.427,0.306,0.739,13.0,29.0,24.0,10.0,6.0,15.0,30.0
0.451,0.5,0.9,16.0,39.0,25.0,2.0,6.0,9.0,24.0
0.5,0.2,0.8,10.0,21.0,18.0,8.0,4.0,13.0,18.0
0.369,0.368,0.739,11.0,29.0,21.0,7.0,9.0,14.0,13.0
0.442,0.385,0.829,9.0,28.0,21.0,7.0,4.0,15.0,24.0
0.5,0.267,0.742,10.0,27.0,28.0,15.0,7.0,13.0,18.0
0.477,0.357,0.769,8.0,26.0,18.0,5.0,0.0,14.0,16.0
0.432,0.421,0.828,6.0,29.0,22.0,12.0,2.0,14.0,21.0
0.593,0.391,0.615,6.0,36.0,27.0,9.0,5.0,13.0,21.0
0.486,0.333,0.815,7.0,36.0,22.0,6.0,4.0,15.0,26.0
0.5,0.424,0.84,17.0,36.0,28.0,12.0,10.0,17.0,22.0
0.384,0.292,0.632,12.0,24.0,18.0,11.0,7.0,16.0,23.0
0.563,0.357,0.667,8.0,21.0,30.0,8.0,5.0,10.0,20.0
0.423,0.185,0.605,9.0,35.0,18.0,11.0,3.0,18.0,20.0
0.506,0.538,0.7,10.0,31.0,22.0,10.0,7.0,16.0,26.0
0.321,0.3,0.826,11.0,37.0,20.0,9.0,8.0,22.0,13.0
0.468,0.5,0.857,10.0,30.0,24.0,5.0,3.0,16.0,20.0
0.506,0.4,0.833,11.0,27.0,29.0,7.0,11.0,16.0,20.0
0.482,0.286,0.625,8.0,38.0,29.0,8.0,7.0,13.0,20.0
0.459,0.318,0.842,6.0,34.0,22.0,6.0,6.0,16.0,24.0
0.538,0.414,0.652,5.0,32.0,28.0,11.0,1.0,10.0,24.0
0.456,0.304,0.87,16.0,32.0,27.0,5.0,2.0,13.0,19.0
0.388,0.267,0.688,10.0,30.0,18.0,7.0,6.0,12.0,20.0
0.537,0.459,0.833,5.0,30.0,27.0,15.0,3.0,18.0,22.0
0.5,0.44,0.786,11.0,31.0,27.0,5.0,5.0,24.0,15.0
0.438,0.0,0.69,12.0,23.0,12.0,9.0,6.0,12.0,19.0
0.443,0.333,0.826,14.0,33.0,20.0,6.0,8.0,15.0,21.0
0.456,0.444,0.704,16.0,41.0,25.0,4.0,5.0,16.0,20.0
0.4,0.313,0.647,18.0,36.0,28.0,3.0,6.0,18.0,14.0
0.392,0.364,0.706,7.0,30.0,18.0,6.0,11.0,12.0,21.0
0.465,0.435,0.737,8.0,33.0,31.0,8.0,7.0,12.0,23.0
0.341,0.077,0.818,12.0,32.0,16.0,6.0,7.0,15.0,19.0
0.444,0.391,0.882,9.0,41.0,24.0,13.0,3.0,10.0,18.0
0.5,0.2,0.773,15.0,29.0,25.0,11.0,8.0,18.0,14.0
0.5,0.625,0.667,8.0,25.0,25.0,9.0,6.0,11.0,21.0
0.391,0.429,0.875,15.0,33.0,18.0,6.0,4.0,19.0,17.0
0.5,0.455,0.852,5.0,33.0,17.0,5.0,6.0,13.0,21.0
0.395,0.304,0.643,13.0,27.0,19.0,7.0,1.0,19.0,29.0
0.481,0.318,0.826,7.0,28.0,18.0,9.0,1.0,11.0,15.0
0.464,0.385,0.722,14.0,30.0,24.0,10.0,5.0,16.0,21.0
0.352,0.289,0.769,17.0,33.0,21.0,9.0,5.0,13.0,12.0
0.532,0.375,0.81,11.0,33.0,27.0,6.0,7.0,17.0,27.0
0.413,0.25,0.783,5.0,30.0,21.0,11.0,5.0,15.0,27.0
0.5,0.313,0.882,10.0,21.0,19.0,4.0,1.0,10.0,14.0
0.382,0.273,0.818,9.0,29.0,16.0,3.0,6.0,17.0,18.0
0.527,0.24,0.75,11.0,32.0,26.0,10.0,4.0,17.0,19.0
0.5,0.571,0.7,9.0,34.0,31.0,10.0,7.0,13.0,20.0
0.37,0.357,0.682,8.0,28.0,22.0,4.0,5.0,11.0,17.0
0.477,0.417,0.815,16.0,24.0,15.0,5.0,4.0,11.0,24.0
0.38,0.375,0.828,16.0,33.0,18.0,3.0,3.0,12.0,24.0
0.398,0.378,0.857,17.0,30.0,22.0,3.0,13.0,18.0,18.0
0.484,0.429,0.75,14.0,28.0,31.0,9.0,2.0,9.0,15.0
0.44,0.0,0.8,16.0,29.0,26.0,17.0,2.0,18.0,16.0
0.393,0.242,0.933,7.0,30.0,25.0,7.0,4.0,14.0,21.0
0.452,0.28,0.893,4.0,37.0,22.0,11.0,6.0,14.0,22.0
0.469,0.371,0.652,13.0,32.0,22.0,8.0,5.0,10.0,18.0
0.461,0.25,0.897,12.0,28.0,26.0,15.0,3.0,8.0,16.0
0.447,0.333,0.733,13.0,36.0,21.0,3.0,4.0,11.0,16.0
0.408,0.222,0.75,17.0,39.0,18.0,9.0,5.0,12.0,17.0
0.418,0.389,0.577,12.0,35.0,15.0,8.0,4.0,17.0,19.0
0.485,0.462,0.821,7.0,36.0,30.0,14.0,7.0,21.0,21.0
0.37,0.333,0.778,11.0,30.0,19.0,9.0,1.0,16.0,26.0
0.518,0.5,0.792,13.0,32.0,22.0,5.0,3.0,15.0,16.0
0.529,0.459,0.737,9.0,28.0,30.0,9.0,5.0,18.0,28.0
0.523,0.52,0.778,13.0,37.0,32.0,9.0,10.0,19.0,23.0
