fg_pct_away,fg3_pct_away,ft_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,tov_away,pf_away
0.44,0.263,0.833,9.0,27.0,23.0,4.0,2.0,16.0,18.0
0.468,0.484,0.714,15.0,40.0,32.0,5.0,4.0,13.0,20.0
0.379,0.222,0.789,24.0,34.0,15.0,11.0,7.0,14.0,13.0
0.427,0.25,0.808,20.0,39.0,16.0,12.0,4.0,15.0,17.0
0.571,0.484,0.5,10.0,34.0,33.0,6.0,3.0,13.0,16.0
0.395,0.357,0.647,13.0,26.0,19.0,5.0,4.0,12.0,24.0
0.494,0.296,0.84,8.0,28.0,28.0,13.0,2.0,15.0,24.0
0.48,0.4,0.615,15.0,33.0,20.0,7.0,4.0,15.0,22.0
0.415,0.24,0.733,10.0,25.0,23.0,2.0,6.0,16.0,18.0
0.456,0.333,0.724,8.0,34.0,26.0,11.0,8.0,16.0,25.0
0.449,0.481,0.789,15.0,26.0,24.0,5.0,5.0,16.0,18.0
0.5,0.344,0.635,16.0,36.0,31.0,8.0,5.0,14.0,28.0
0.413,0.222,0.923,6.0,34.0,13.0,7.0,4.0,9.0,19.0
0.494,0.355,1.0,6.0,34.0,25.0,11.0,5.0,13.0,16.0
0.389,0.077,0.676,16.0,29.0,21.0,6.0,5.0,10.0,26.0
0.475,0.32,0.5,4.0,37.0,15.0,9.0,4.0,16.0,19.0
0.396,0.35,0.667,19.0,31.0,16.0,9.0,5.0,11.0,20.0
0.422,0.323,0.778,7.0,40.0,21.0,5.0,14.0,19.0,18.0
0.476,0.375,0.794,9.0,35.0,24.0,7.0,7.0,15.0,17.0
0.448,0.32,0.87,12.0,31.0,15.0,4.0,4.0,16.0,25.0
0.462,0.324,0.778,10.0,32.0,24.0,8.0,4.0,14.0,31.0
0.449,0.2,0.69,10.0,30.0,26.0,5.0,9.0,15.0,23.0
0.434,0.44,0.824,10.0,22.0,20.0,5.0,3.0,13.0,23.0
0.481,0.429,0.778,12.0,32.0,22.0,9.0,3.0,15.0,21.0
0.459,0.455,0.667,6.0,37.0,30.0,7.0,3.0,21.0,27.0
0.5,0.361,0.778,8.0,31.0,22.0,8.0,1.0,15.0,16.0
0.422,0.444,0.7,7.0,24.0,20.0,8.0,5.0,9.0,20.0
0.418,0.476,0.885,7.0,31.0,25.0,8.0,4.0,16.0,25.0
0.381,0.364,0.762,16.0,40.0,17.0,5.0,9.0,18.0,25.0
0.481,0.235,0.636,15.0,32.0,20.0,6.0,5.0,13.0,22.0
0.454,0.345,0.762,13.0,29.0,24.0,7.0,2.0,9.0,16.0
0.529,0.462,0.88,19.0,27.0,18.0,7.0,3.0,17.0,19.0
0.398,0.267,0.8,13.0,30.0,21.0,8.0,1.0,16.0,17.0
0.483,0.278,0.903,17.0,39.0,22.0,7.0,7.0,8.0,18.0
0.391,0.176,0.6,5.0,22.0,19.0,9.0,3.0,19.0,25.0
0.478,0.481,0.778,12.0,22.0,23.0,6.0,4.0,14.0,28.0
0.463,0.25,0.789,10.0,35.0,19.0,8.0,4.0,8.0,19.0
0.485,0.356,0.846,11.0,42.0,29.0,14.0,3.0,13.0,20.0
0.437,0.485,0.8,15.0,29.0,25.0,5.0,5.0,11.0,33.0
0.471,0.333,0.706,15.0,35.0,32.0,2.0,2.0,16.0,20.0
0.457,0.313,0.655,12.0,28.0,18.0,7.0,3.0,20.0,28.0
0.472,0.2,0.815,7.0,29.0,18.0,5.0,4.0,15.0,28.0
0.485,0.467,0.765,14.0,34.0,24.0,6.0,3.0,15.0,23.0
0.333,0.333,0.72,11.0,29.0,12.0,5.0,2.0,10.0,20.0
0.452,0.24,0.765,12.0,27.0,29.0,7.0,6.0,10.0,15.0
0.457,0.348,0.591,11.0,34.0,23.0,5.0,4.0,18.0,16.0
0.452,0.077,0.826,13.0,41.0,19.0,6.0,13.0,11.0,15.0
0.488,0.4,0.722,12.0,37.0,20.0,3.0,0.0,17.0,19.0
0.427,0.426,0.846,10.0,28.0,28.0,3.0,4.0,15.0,21.0
0.463,0.375,0.741,8.0,29.0,25.0,8.0,3.0,13.0,24.0
0.452,0.294,0.676,13.0,28.0,22.0,9.0,5.0,8.0,27.0
0.437,0.25,0.931,11.0,27.0,16.0,4.0,4.0,18.0,20.0
0.384,0.267,0.8,14.0,18.0,18.0,10.0,4.0,19.0,27.0
0.407,0.318,0.818,13.0,33.0,24.0,8.0,3.0,15.0,16.0
0.37,0.263,0.778,5.0,31.0,18.0,7.0,4.0,9.0,25.0
0.389,0.357,0.813,8.0,34.0,17.0,5.0,1.0,13.0,23.0
0.438,0.4,0.824,6.0,32.0,20.0,7.0,6.0,9.0,21.0
0.529,0.4,0.688,15.0,36.0,18.0,6.0,4.0,15.0,23.0
0.435,0.385,0.826,13.0,38.0,32.0,10.0,4.0,10.0,22.0
0.472,0.4,0.676,6.0,36.0,15.0,4.0,5.0,15.0,22.0
0.398,0.227,0.905,14.0,24.0,15.0,12.0,2.0,16.0,19.0
0.478,0.353,0.84,15.0,28.0,22.0,5.0,3.0,12.0,24.0
0.519,0.389,0.643,12.0,31.0,15.0,6.0,5.0,16.0,25.0
0.462,0.471,0.8,14.0,29.0,25.0,11.0,1.0,21.0,27.0
0.427,0.5,0.818,7.0,26.0,23.0,6.0,2.0,19.0,32.0
0.419,0.5,0.75,11.0,17.0,14.0,6.0,2.0,19.0,26.0
0.429,0.265,0.788,14.0,41.0,20.0,3.0,3.0,13.0,25.0
0.452,0.318,0.679,10.0,31.0,14.0,4.0,2.0,13.0,21.0
0.455,0.429,0.857,7.0,20.0,18.0,9.0,0.0,7.0,24.0
0.455,0.3,0.63,15.0,33.0,20.0,5.0,9.0,22.0,24.0
0.373,0.375,0.848,13.0,26.0,15.0,8.0,4.0,22.0,32.0
0.453,0.343,0.643,6.0,36.0,19.0,6.0,1.0,8.0,18.0
0.448,0.333,0.889,18.0,36.0,22.0,12.0,1.0,16.0,23.0
0.529,0.529,0.875,9.0,37.0,29.0,6.0,5.0,9.0,17.0
0.481,0.278,0.87,12.0,42.0,26.0,7.0,6.0,20.0,19.0
0.527,0.594,0.87,9.0,37.0,28.0,5.0,5.0,12.0,17.0
0.402,0.25,0.694,18.0,33.0,20.0,8.0,3.0,17.0,26.0
0.517,0.429,0.714,6.0,23.0,36.0,10.0,6.0,7.0,26.0
0.467,0.273,0.655,8.0,37.0,14.0,4.0,3.0,10.0,24.0
0.551,0.143,0.8,6.0,35.0,30.0,11.0,4.0,17.0,18.0
0.425,0.333,0.778,5.0,37.0,17.0,10.0,7.0,15.0,28.0
0.434,0.389,0.839,12.0,34.0,16.0,7.0,6.0,22.0,13.0
0.439,0.333,0.778,9.0,28.0,21.0,11.0,4.0,12.0,24.0
0.47,0.2,0.767,11.0,32.0,18.0,7.0,1.0,17.0,18.0
0.513,0.278,0.815,13.0,45.0,28.0,3.0,5.0,14.0,18.0
0.388,0.227,0.773,11.0,32.0,22.0,7.0,5.0,13.0,24.0
0.432,0.333,0.8,11.0,28.0,21.0,5.0,5.0,10.0,19.0
0.518,0.143,0.815,12.0,35.0,16.0,4.0,4.0,13.0,21.0
0.393,0.286,0.842,13.0,35.0,15.0,8.0,7.0,17.0,28.0
0.376,0.357,0.8,11.0,23.0,16.0,8.0,2.0,3.0,18.0
0.494,0.462,0.625,8.0,31.0,23.0,9.0,3.0,14.0,18.0
0.469,0.409,0.818,7.0,32.0,19.0,5.0,6.0,14.0,25.0
0.463,0.435,0.714,13.0,29.0,25.0,9.0,4.0,20.0,24.0
0.551,0.484,0.813,6.0,43.0,30.0,6.0,3.0,13.0,16.0
0.518,0.571,0.808,10.0,30.0,34.0,4.0,5.0,9.0,28.0
0.379,0.167,0.682,13.0,32.0,20.0,5.0,2.0,15.0,24.0
0.398,0.278,0.818,18.0,34.0,23.0,9.0,5.0,11.0,19.0
0.429,0.316,0.813,13.0,23.0,15.0,11.0,2.0,15.0,22.0
0.475,0.378,0.923,8.0,30.0,22.0,5.0,10.0,13.0,16.0
0.548,0.318,0.579,12.0,29.0,29.0,6.0,4.0,16.0,18.0
0.479,0.351,0.88,6.0,30.0,23.0,5.0,2.0,14.0,22.0
0.437,0.286,0.714,13.0,28.0,24.0,9.0,4.0,13.0,23.0
0.393,0.379,0.622,16.0,37.0,24.0,1.0,3.0,14.0,16.0
0.409,0.393,0.703,10.0,28.0,23.0,11.0,0.0,15.0,16.0
0.4,0.529,0.625,7.0,36.0,18.0,10.0,8.0,17.0,27.0
0.484,0.448,0.806,13.0,36.0,21.0,11.0,4.0,15.0,17.0
0.41,0.231,0.905,15.0,37.0,13.0,6.0,6.0,11.0,14.0
0.412,0.207,0.875,10.0,37.0,24.0,7.0,6.0,11.0,15.0
0.449,0.727,0.667,11.0,41.0,12.0,12.0,4.0,20.0,17.0
0.432,0.375,0.652,8.0,22.0,24.0,4.0,2.0,9.0,22.0
0.506,0.476,0.333,9.0,29.0,25.0,5.0,7.0,10.0,21.0
0.5,0.407,0.8,13.0,36.0,32.0,9.0,6.0,6.0,22.0
0.447,0.308,0.95,15.0,28.0,19.0,12.0,4.0,16.0,32.0
0.507,0.52,0.682,6.0,38.0,18.0,7.0,4.0,26.0,22.0
0.442,0.4,0.706,8.0,32.0,29.0,4.0,2.0,11.0,18.0
0.358,0.111,0.682,23.0,22.0,19.0,5.0,3.0,14.0,17.0
0.582,0.455,0.563,4.0,29.0,35.0,5.0,8.0,11.0,14.0
0.455,0.455,0.615,12.0,26.0,14.0,5.0,6.0,16.0,25.0
0.429,0.263,0.75,5.0,30.0,16.0,12.0,7.0,19.0,20.0
0.511,0.292,0.962,10.0,31.0,28.0,8.0,5.0,15.0,15.0
0.417,0.371,0.684,7.0,36.0,19.0,7.0,5.0,17.0,18.0
0.494,0.3,0.75,7.0,35.0,17.0,14.0,4.0,20.0,20.0
0.525,0.417,0.769,12.0,30.0,26.0,7.0,2.0,23.0,21.0
0.548,0.471,0.682,9.0,28.0,29.0,7.0,0.0,17.0,25.0
0.442,0.333,0.645,18.0,34.0,25.0,4.0,1.0,9.0,25.0
0.538,0.308,0.767,4.0,28.0,25.0,10.0,9.0,7.0,20.0
0.454,0.515,0.846,11.0,37.0,19.0,6.0,5.0,6.0,17.0
0.444,0.6,0.786,15.0,35.0,20.0,6.0,5.0,19.0,15.0
0.494,0.474,0.731,13.0,23.0,26.0,10.0,5.0,14.0,12.0
0.548,0.419,0.833,5.0,34.0,24.0,7.0,0.0,17.0,16.0
0.505,0.542,0.765,11.0,34.0,22.0,9.0,9.0,18.0,19.0
0.408,0.167,0.742,6.0,36.0,10.0,5.0,4.0,19.0,23.0
0.419,0.36,0.733,16.0,21.0,14.0,7.0,5.0,10.0,18.0
0.43,0.0,0.714,11.0,36.0,16.0,10.0,7.0,19.0,10.0
0.432,0.258,0.769,13.0,40.0,17.0,6.0,4.0,12.0,21.0
0.383,0.29,0.769,10.0,36.0,20.0,4.0,5.0,17.0,22.0
0.536,0.565,0.769,11.0,39.0,29.0,4.0,0.0,22.0,25.0
0.446,0.333,0.783,9.0,27.0,23.0,11.0,2.0,14.0,26.0
0.43,0.382,0.762,3.0,35.0,19.0,2.0,6.0,13.0,27.0
0.473,0.276,0.789,12.0,28.0,19.0,5.0,3.0,16.0,17.0
0.438,0.316,0.636,11.0,33.0,17.0,3.0,5.0,15.0,22.0
0.452,0.316,0.778,12.0,33.0,16.0,7.0,3.0,17.0,19.0
0.473,0.364,0.833,4.0,34.0,23.0,9.0,0.0,12.0,18.0
0.362,0.25,0.875,7.0,43.0,15.0,8.0,5.0,8.0,22.0
0.447,0.231,0.85,15.0,45.0,19.0,6.0,10.0,18.0,24.0
0.5,0.5,0.75,12.0,29.0,19.0,9.0,4.0,20.0,20.0
0.416,0.28,0.714,5.0,27.0,14.0,10.0,1.0,10.0,27.0
0.4,0.367,0.6,5.0,33.0,25.0,9.0,8.0,15.0,24.0
0.435,0.375,1.0,13.0,37.0,23.0,8.0,2.0,21.0,22.0
0.378,0.353,0.833,14.0,25.0,25.0,8.0,2.0,11.0,28.0
0.432,0.429,0.792,10.0,33.0,20.0,8.0,3.0,11.0,24.0
0.462,0.471,0.727,12.0,36.0,20.0,7.0,5.0,15.0,26.0
0.39,0.179,0.76,13.0,32.0,12.0,8.0,2.0,17.0,20.0
0.479,0.35,0.692,7.0,29.0,19.0,6.0,10.0,12.0,18.0
0.447,0.353,0.647,8.0,29.0,20.0,9.0,6.0,13.0,17.0
0.471,0.4,0.85,14.0,30.0,23.0,3.0,2.0,10.0,20.0
0.495,0.353,0.875,12.0,39.0,29.0,12.0,5.0,11.0,19.0
0.523,0.286,0.56,6.0,35.0,23.0,4.0,3.0,21.0,27.0
0.565,0.463,0.833,6.0,32.0,24.0,13.0,5.0,11.0,21.0
0.407,0.3,0.758,15.0,23.0,14.0,3.0,2.0,11.0,25.0
0.5,0.375,0.667,5.0,39.0,26.0,7.0,6.0,21.0,25.0
0.561,0.385,0.708,8.0,38.0,26.0,11.0,4.0,18.0,17.0
0.282,0.261,0.65,11.0,30.0,12.0,6.0,2.0,11.0,23.0
0.464,0.417,0.762,13.0,23.0,15.0,11.0,1.0,18.0,23.0
0.415,0.344,0.75,11.0,37.0,16.0,11.0,6.0,13.0,20.0
0.358,0.3,0.9,13.0,32.0,14.0,6.0,2.0,13.0,21.0
0.361,0.381,0.75,16.0,37.0,23.0,5.0,5.0,17.0,22.0
0.536,0.44,0.76,11.0,28.0,21.0,8.0,3.0,11.0,18.0
0.433,0.385,0.778,4.0,42.0,24.0,8.0,2.0,14.0,20.0
0.351,0.143,0.794,15.0,37.0,12.0,15.0,6.0,18.0,25.0
0.463,0.464,0.625,19.0,35.0,32.0,7.0,2.0,20.0,24.0
0.46,0.44,0.889,7.0,42.0,30.0,13.0,5.0,15.0,25.0
0.397,0.4,0.958,6.0,31.0,17.0,6.0,6.0,14.0,25.0
0.564,0.458,0.795,7.0,29.0,24.0,4.0,11.0,10.0,22.0
0.455,0.257,0.72,2.0,39.0,15.0,2.0,4.0,13.0,21.0
0.561,0.467,0.778,8.0,34.0,27.0,4.0,4.0,11.0,21.0
0.424,0.222,0.667,6.0,29.0,21.0,8.0,3.0,13.0,21.0
0.407,0.188,0.882,14.0,29.0,21.0,8.0,2.0,16.0,18.0
0.433,0.333,0.867,14.0,34.0,29.0,6.0,4.0,7.0,22.0
0.416,0.467,0.64,17.0,27.0,20.0,7.0,4.0,11.0,21.0
0.402,0.318,0.867,9.0,31.0,21.0,8.0,3.0,14.0,17.0
0.337,0.345,0.857,14.0,27.0,13.0,13.0,2.0,19.0,23.0
0.318,0.083,0.583,15.0,33.0,15.0,4.0,5.0,19.0,20.0
0.424,0.314,0.815,10.0,36.0,15.0,6.0,3.0,19.0,20.0
0.505,0.417,0.867,13.0,28.0,27.0,3.0,6.0,9.0,26.0
0.432,0.387,0.76,7.0,30.0,19.0,9.0,4.0,12.0,15.0
0.566,0.457,0.773,11.0,34.0,23.0,4.0,7.0,16.0,22.0
0.545,0.371,0.864,4.0,19.0,19.0,5.0,4.0,23.0,20.0
0.513,0.435,0.852,13.0,36.0,25.0,4.0,1.0,13.0,21.0
0.456,0.4,0.462,13.0,37.0,16.0,7.0,8.0,16.0,23.0
0.405,0.2,0.6,10.0,24.0,15.0,8.0,1.0,13.0,23.0
0.437,0.313,0.625,9.0,39.0,26.0,8.0,5.0,17.0,20.0
0.37,0.167,0.697,16.0,34.0,12.0,8.0,0.0,11.0,17.0
0.437,0.36,0.571,11.0,30.0,26.0,7.0,4.0,16.0,20.0
0.476,0.286,0.806,13.0,30.0,22.0,7.0,5.0,13.0,21.0
0.415,0.5,0.692,6.0,38.0,20.0,6.0,6.0,4.0,17.0
0.5,0.583,0.722,11.0,32.0,23.0,6.0,7.0,11.0,16.0
0.489,0.415,0.913,11.0,27.0,25.0,5.0,2.0,7.0,17.0
0.43,0.286,0.763,22.0,41.0,22.0,7.0,6.0,21.0,26.0
0.427,0.441,0.697,6.0,31.0,20.0,4.0,9.0,6.0,22.0
0.52,0.316,0.81,4.0,27.0,23.0,6.0,2.0,13.0,24.0
0.456,0.353,1.0,14.0,39.0,20.0,8.0,7.0,17.0,18.0
0.526,0.448,0.824,5.0,32.0,27.0,7.0,6.0,14.0,24.0
0.488,0.6,0.737,11.0,33.0,24.0,7.0,4.0,25.0,28.0
0.448,0.529,0.6,14.0,27.0,14.0,5.0,5.0,13.0,31.0
0.406,0.545,0.821,6.0,33.0,17.0,11.0,0.0,21.0,19.0
0.477,0.368,0.778,8.0,28.0,19.0,7.0,5.0,14.0,20.0
0.393,0.429,0.692,13.0,24.0,19.0,10.0,2.0,13.0,24.0
0.393,0.357,0.789,13.0,23.0,27.0,8.0,3.0,15.0,19.0
0.422,0.091,0.735,18.0,37.0,18.0,9.0,7.0,20.0,22.0
0.521,0.375,0.8,11.0,26.0,24.0,4.0,2.0,17.0,18.0
0.517,0.525,0.5,7.0,36.0,38.0,10.0,2.0,16.0,26.0
0.368,0.3,0.826,11.0,26.0,18.0,4.0,3.0,17.0,18.0
0.434,0.364,0.813,8.0,44.0,25.0,14.0,6.0,23.0,21.0
0.538,0.429,0.684,9.0,24.0,26.0,8.0,2.0,10.0,17.0
0.449,0.467,0.882,10.0,23.0,23.0,11.0,2.0,14.0,14.0
0.451,0.286,0.833,6.0,34.0,15.0,9.0,2.0,13.0,21.0
0.557,0.515,0.633,5.0,39.0,23.0,10.0,3.0,8.0,20.0
0.452,0.316,0.846,10.0,29.0,23.0,5.0,4.0,20.0,20.0
0.5,0.4,0.737,7.0,30.0,21.0,3.0,5.0,12.0,21.0
0.453,0.333,0.694,14.0,43.0,15.0,10.0,6.0,12.0,19.0
0.494,0.353,0.615,9.0,32.0,28.0,4.0,1.0,20.0,19.0
0.531,0.214,0.789,6.0,26.0,28.0,14.0,2.0,12.0,15.0
0.5,0.533,0.875,8.0,32.0,19.0,7.0,2.0,15.0,17.0
0.44,0.222,0.667,9.0,31.0,18.0,6.0,6.0,12.0,21.0
0.436,0.343,0.8,10.0,34.0,23.0,6.0,4.0,10.0,27.0
0.348,0.304,0.667,20.0,29.0,20.0,12.0,5.0,10.0,21.0
0.367,0.571,0.75,15.0,36.0,17.0,7.0,4.0,14.0,19.0
0.423,0.167,0.774,11.0,32.0,18.0,9.0,6.0,12.0,22.0
0.386,0.353,0.75,14.0,43.0,18.0,4.0,9.0,22.0,17.0
0.355,0.3,0.55,10.0,34.0,13.0,5.0,3.0,23.0,17.0
0.427,0.6,0.833,13.0,23.0,26.0,8.0,3.0,16.0,17.0
0.442,0.176,0.722,18.0,32.0,29.0,9.0,6.0,15.0,21.0
0.45,0.368,0.947,9.0,31.0,13.0,12.0,6.0,13.0,19.0
0.427,0.286,0.682,16.0,30.0,17.0,7.0,3.0,13.0,28.0
0.416,0.333,0.781,13.0,33.0,19.0,6.0,3.0,18.0,21.0
0.519,0.368,0.714,5.0,28.0,23.0,10.0,3.0,14.0,21.0
0.423,0.5,0.75,10.0,27.0,22.0,9.0,5.0,14.0,18.0
0.489,0.5,0.75,10.0,40.0,34.0,8.0,7.0,15.0,18.0
0.395,0.077,0.813,16.0,21.0,14.0,12.0,6.0,12.0,20.0
0.39,0.238,0.839,12.0,35.0,18.0,3.0,2.0,19.0,25.0
0.526,0.182,0.643,12.0,24.0,29.0,6.0,3.0,13.0,17.0
0.415,0.323,0.813,15.0,30.0,18.0,6.0,4.0,11.0,27.0
0.527,0.381,0.417,11.0,27.0,27.0,8.0,4.0,25.0,21.0
0.482,0.5,0.824,7.0,34.0,24.0,9.0,6.0,17.0,22.0
0.53,0.636,0.786,7.0,38.0,32.0,4.0,5.0,13.0,17.0
0.459,0.429,0.724,17.0,25.0,19.0,3.0,3.0,15.0,26.0
0.517,0.4,0.818,5.0,41.0,20.0,6.0,5.0,12.0,29.0
0.461,0.2,0.913,16.0,31.0,18.0,10.0,6.0,10.0,17.0
0.545,0.462,0.8,7.0,30.0,29.0,4.0,5.0,16.0,21.0
0.443,0.25,0.867,8.0,29.0,15.0,9.0,5.0,25.0,16.0
0.449,0.438,0.867,15.0,39.0,26.0,6.0,5.0,18.0,16.0
0.404,0.273,0.824,12.0,40.0,30.0,5.0,1.0,18.0,19.0
0.547,0.444,0.6,6.0,33.0,24.0,4.0,8.0,15.0,22.0
0.43,0.3,0.842,15.0,27.0,22.0,5.0,3.0,18.0,28.0
0.467,0.353,0.917,7.0,35.0,17.0,6.0,7.0,6.0,13.0
0.402,0.357,0.905,11.0,33.0,15.0,6.0,4.0,13.0,22.0
0.513,0.333,0.588,7.0,36.0,29.0,9.0,2.0,12.0,20.0
0.263,0.333,0.8,17.0,28.0,14.0,9.0,5.0,26.0,24.0
0.444,0.364,0.6,10.0,38.0,21.0,8.0,3.0,14.0,15.0
0.487,0.455,0.857,9.0,25.0,22.0,9.0,2.0,12.0,20.0
0.494,0.333,0.791,13.0,28.0,19.0,12.0,2.0,17.0,22.0
0.38,0.346,0.737,14.0,21.0,20.0,8.0,3.0,13.0,17.0
0.518,0.462,0.722,8.0,35.0,24.0,7.0,12.0,13.0,18.0
0.333,0.286,0.741,18.0,29.0,18.0,8.0,5.0,19.0,20.0
0.393,0.242,0.839,14.0,30.0,18.0,7.0,3.0,13.0,23.0
0.366,0.438,0.75,18.0,28.0,21.0,6.0,6.0,13.0,20.0
0.345,0.133,0.789,14.0,25.0,14.0,7.0,2.0,14.0,21.0
0.42,0.318,0.739,11.0,28.0,22.0,17.0,4.0,16.0,28.0
0.474,0.429,0.947,9.0,30.0,21.0,9.0,3.0,15.0,19.0
0.505,0.267,0.563,13.0,42.0,26.0,11.0,4.0,14.0,20.0
0.545,0.625,0.619,8.0,35.0,20.0,5.0,4.0,18.0,24.0
0.451,0.4,0.789,15.0,34.0,21.0,7.0,6.0,14.0,19.0
0.488,0.447,0.696,10.0,31.0,21.0,6.0,6.0,17.0,24.0
0.523,0.389,0.647,6.0,30.0,23.0,12.0,8.0,9.0,15.0
0.333,0.077,0.9,10.0,37.0,19.0,6.0,5.0,17.0,19.0
0.481,0.35,0.7,9.0,39.0,14.0,4.0,0.0,16.0,22.0
0.405,0.25,0.783,14.0,24.0,22.0,12.0,5.0,17.0,21.0
0.382,0.296,0.875,12.0,25.0,18.0,9.0,5.0,13.0,23.0
0.452,0.387,0.733,9.0,30.0,25.0,11.0,5.0,12.0,24.0
0.485,0.273,0.778,18.0,33.0,26.0,7.0,6.0,16.0,22.0
0.472,0.5,0.923,7.0,29.0,27.0,6.0,6.0,9.0,24.0
0.486,0.364,0.6,6.0,22.0,18.0,10.0,4.0,18.0,17.0
0.552,0.52,0.889,6.0,38.0,32.0,5.0,9.0,16.0,19.0
0.458,0.417,0.792,4.0,26.0,18.0,9.0,1.0,10.0,17.0
0.584,0.429,0.688,6.0,35.0,27.0,6.0,5.0,19.0,13.0
0.412,0.375,0.706,11.0,34.0,7.0,4.0,5.0,14.0,22.0
0.415,0.333,0.811,14.0,40.0,31.0,13.0,10.0,17.0,25.0
0.438,0.44,0.667,19.0,37.0,24.0,9.0,5.0,18.0,13.0
0.526,0.444,1.0,6.0,27.0,27.0,6.0,4.0,14.0,15.0
0.405,0.4,0.667,19.0,26.0,19.0,10.0,7.0,15.0,13.0
0.429,0.143,0.742,10.0,39.0,23.0,4.0,10.0,15.0,23.0
0.417,0.313,1.0,10.0,25.0,23.0,5.0,2.0,9.0,23.0
0.342,0.222,0.789,9.0,41.0,18.0,5.0,5.0,23.0,24.0
0.518,0.345,0.821,4.0,21.0,27.0,9.0,7.0,16.0,28.0
0.6,0.529,0.571,9.0,25.0,39.0,12.0,3.0,21.0,22.0
0.506,0.308,0.789,5.0,38.0,24.0,8.0,8.0,15.0,23.0
0.378,0.262,0.7,12.0,27.0,16.0,9.0,3.0,17.0,26.0
0.39,0.364,0.71,12.0,24.0,21.0,10.0,4.0,15.0,23.0
0.44,0.316,0.667,15.0,28.0,17.0,6.0,6.0,15.0,16.0
0.443,0.452,0.75,9.0,22.0,28.0,13.0,6.0,20.0,25.0
0.5,0.545,0.6,6.0,31.0,21.0,14.0,3.0,13.0,17.0
0.5,0.231,0.781,8.0,26.0,28.0,13.0,3.0,20.0,27.0
0.556,0.421,0.737,11.0,28.0,32.0,9.0,4.0,15.0,19.0
