,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
52,Brandon Jennings,Was,PG,27,23,16.2,33.8,15.8,0.162,17,0.706,54,0.333,52,0.212,0.357,3.5,1.9,6.6,4.7,36.9,0.65,0,7.8,2016
53,Brandon Knight,Pho,SG,25,54,21.1,44,25,0.129,154,0.857,386,0.425,139,0.324,0.502,11,2.2,5.6,2.4,17.8,0.5,0.09,7.3,2016
54,Brandon Rush,Min,SG,31,47,21.9,45.6,9.6,0.126,18,0.722,74,0.351,113,0.389,0.505,4.2,2.1,5.6,1,5.8,0.47,0.49,3.8,2016
55,Brian Roberts,Cha,PG,31,41,10.1,21.1,17.9,0.157,39,0.846,78,0.372,44,0.386,0.51,3.5,1,5.3,1.3,18.7,0.22,0.02,6.6,2016
56,Briante Weber,Gol,PG,24,7,6.6,13.7,17.2,0.164,3,0.667,11,0.455,3,0,0.392,1.7,0.6,4.8,0.7,13.9,0.43,0.14,5.4,2016
57,Briante Weber,Cha,PG,24,13,12.3,25.5,16,0.088,13,0.692,39,0.487,7,0.143,0.483,3.8,1.6,7.2,1.3,16.3,0.69,0,6.5,2016
58,Brook Lopez,Bro,C,28,75,29.6,61.7,29.2,0.121,364,0.81,787,0.535,386,0.347,0.577,20.5,5.4,9.6,2.3,14.8,0.51,1.65,8.6,2016
59,Bryn Forbes,San,SG,23,36,7.9,16.5,17.9,0.098,6,0.833,46,0.413,53,0.321,0.462,2.6,0.6,4.6,0.7,12.3,0.03,0,5.2,2016
60,Buddy Hield,Nor,SG,23,57,20.4,42.4,20.4,0.09,33,0.879,230,0.417,241,0.369,0.503,8.6,2.9,7.5,1.4,10.2,0.32,0.12,6.4,2016
61,Buddy Hield,Sac,SG,23,25,29.1,60.6,22.9,0.144,43,0.814,158,0.525,138,0.428,0.6,15.1,4.2,8.3,1.8,10.3,0.8,0.12,6.7,2016
62,C.J. Watson,Orl,PG,32,62,16.3,34,14.1,0.145,66,0.864,143,0.448,105,0.305,0.507,4.5,1.4,4.8,1.8,16.1,0.69,0.03,5.5,2016
63,C.J. Watson,Orl,PG,32,62,16.3,34,14.1,0.145,66,0.864,143,0.448,105,0.305,0.507,4.5,1.4,4.8,1.8,16.1,0.69,0.03,5.5,2016
64,Cameron Payne,Okc,PG,22,20,16,33.4,19.6,0.108,4,1,78,0.346,52,0.308,0.402,5.3,1.6,5.4,2,18.3,0.5,0.2,6.4,2016
65,Cameron Payne,Chi,PG,22,11,12.9,26.8,24,0.167,4,0.25,29,0.345,34,0.324,0.417,4.9,1.5,6.5,1.4,16.2,0.36,0,6.7,2016
66,Caris LeVert,Bro,SF,22,57,21.7,45.2,16.6,0.123,93,0.72,196,0.571,184,0.321,0.556,8.2,3.3,8,1.9,13.7,0.86,0.14,6.9,2016
67,Carmelo Anthony,Nyk,SF,32,74,34.3,71.5,29.1,0.09,365,0.833,968,0.466,421,0.359,0.535,22.4,5.9,9.3,2.9,14.5,0.82,0.45,8.5,2016
68,Chandler Parsons,Mem,SF,28,34,19.8,41.3,17.9,0.091,43,0.814,129,0.388,93,0.269,0.436,6.2,2.5,7.1,1.6,12.8,0.59,0.15,5.9,2016
69,Channing Frye,Cle,C,33,74,18.9,39.4,19.3,0.088,74,0.851,185,0.546,335,0.409,0.612,9.1,3.9,11.4,0.6,4.9,0.45,0.51,5.9,2016
70,Chasson Randle,Phi,PG,23,8,9.2,19.2,20.1,0.088,12,1,11,0.545,15,0.4,0.671,5.3,0.6,3.7,0.8,13.2,0.38,0.13,5.9,2016
71,Chasson Randle,Nyk,PG,23,18,12.5,26.1,19.6,0.157,31,0.935,40,0.45,32,0.313,0.555,5.3,1.7,7.2,1.6,18,0.33,0.06,7.8,2016
72,Cheick Diallo,Nor,PF,20,17,11.7,24.4,20.6,0.076,21,0.714,76,0.474,0,0,0.51,5.1,4.3,19.4,0.2,3.2,0.24,0.41,5.6,2016
73,Chinanu Onuaku,Hou,C,20,5,10.3,21.5,10.5,0.313,4,1,7,0.714,0,0,0.799,2.8,2,10.6,0.6,7.9,0.6,0.2,5.8,2016
74,Chris Andersen,Cle,C,38,12,9.5,19.8,13,0.151,14,0.714,19,0.474,3,0,0.497,2.3,2.6,15,0.4,5.9,0.42,0.58,5.6,2016
75,Chris McCullough,Bro,PF,21,14,5.2,10.7,20.3,0.058,3,0.667,25,0.6,6,0.167,0.541,2.5,1.2,12.5,0.1,4.9,0.07,0.14,5.1,2016
76,Chris Paul,Lac,PG,31,61,31.5,65.6,24.4,0.14,260,0.892,483,0.518,302,0.411,0.614,18.1,5,8.8,9.2,46.8,1.97,0.13,11.9,2016
77,Christian Wood,Cha,PF,21,13,8.2,17.1,15.4,0.191,15,0.733,18,0.667,5,0,0.591,2.7,2.2,14.9,0.2,2.8,0.23,0.46,5.2,2016
78,CJ McCollum,Por,SG,25,80,34.9,72.8,27.5,0.099,294,0.912,1002,0.506,439,0.421,0.585,23,3.6,5.7,3.6,18,0.9,0.53,7.7,2016
79,CJ Miles,Ind,SF,29,76,23.4,48.7,18.4,0.056,93,0.903,238,0.471,409,0.413,0.592,10.7,3,7.2,0.6,4.1,0.61,0.33,4.6,2016
80,Clint Capela,Hou,C,22,65,23.9,49.7,19.9,0.12,177,0.531,563,0.643,0,0,0.638,12.6,8.1,18.5,1,6.7,0.52,1.22,7.8,2016
81,Cody Zeller,Cha,PF,24,62,27.8,58,15.5,0.109,196,0.679,442,0.572,1,0,0.604,10.3,6.5,12.9,1.6,9.1,1,0.94,6.8,2016
