,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
3110,Landry Shamet,Lac,G,23.58,13,18.7,39,13.5,17.3,7,0.714,17,0.529,42,0.357,0.548,5.2,1.7,5,1.3,9.4,0.46,0.23,4.8,2019
3111,Pascal Siakam,Tor,F,26.53,11,38,79.2,23.6,9.8,46,0.717,129,0.481,53,0.189,0.462,17,7.5,10.7,3.8,16,1.09,0.36,8.3,2019
3112,Anfernee Simons,Por,G,21.35,4,20.5,42.7,16.6,12.3,6,0.833,12,0.167,14,0.429,0.471,6.8,2.8,7.1,2.5,17.8,1.5,0,7.1,2019
3113,Marcus Smart,Bos,G,26.6,17,38.1,79.4,18.4,16.8,56,0.875,75,0.493,123,0.333,0.552,14.5,5.2,7.7,4.6,18,1.24,0.47,7.4,2019
3114,JR Smith,Lal,G,35.09,10,7.5,15.6,19.2,21.2,0,0,4,0.25,22,0.273,0.385,2,0.3,2.4,0.3,5.3,0.2,0,3,2019
3115,Edmond Sumner,Ind,G,24.78,3,13.5,28.1,11.2,20.2,2,1,4,0.5,3,0,0.381,2,2,8.7,0,0,0,0,0,2019
3116,Jayson Tatum,Bos,F-G,22.61,17,40.6,84.6,28.2,11,123,0.813,208,0.471,126,0.373,0.563,25.7,10,13.8,5,21.3,1,1.18,10.7,2019
3117,Garrett Temple,Bro,G-F,34.43,4,34.3,71.5,17.3,10.4,6,0.833,13,0.615,36,0.25,0.465,12,2.8,4,2,9.2,0.75,0.25,4.7,2019
3118,Daniel Theis,Bos,F,28.52,17,28.3,59.1,13.6,10.2,33,0.788,91,0.626,26,0.154,0.578,8.9,7.1,14.1,1.5,7.8,0.35,1.24,6.4,2019
3119,Lance Thomas,Bro,F,32.47,3,5.7,11.9,16.2,0,4,0.5,3,0.333,2,0,0.296,1.3,1,8.8,0,0,0,0.33,0,2019
3120,Matt Thomas,Tor,G,26.19,10,8.4,17.5,11.5,4.5,0,0,9,0.889,12,0.417,0.738,3.1,1.4,9,0.7,12.9,0.1,0.1,6.9,2019
3121,Matisse Thybulle,Phi,G-F,23.61,4,18.9,39.3,5.2,22.2,0,0,3,0.667,4,0.25,0.5,1.8,1.8,5,0.5,4.1,0.75,0.25,2.5,2019
3122,Gary Trent Jr.,Por,G-F,21.73,5,30.6,63.7,14.5,9.4,7,0.857,21,0.286,24,0.417,0.499,9.6,2,3.4,0.6,2.9,0.8,0,3,2019
3123,P.J. Tucker,Hou,F,35.44,12,34.5,71.9,10.8,12,0,0,21,0.476,67,0.373,0.54,7.9,7.2,11.6,1.4,6,1.08,0.25,5,2019
3124,Rayjon Tucker,Uta,G,23.05,2,5.6,11.6,25.3,16.7,0,0,2,0.5,3,0.333,0.5,2.5,0,0,0,0,0,0,0,2019
3125,Myles Turner,Ind,C-F,24.55,4,36.4,75.8,19,15,16,0.438,30,0.633,14,0.429,0.617,15.8,10.8,17.3,0.8,3.5,0.5,4,5.7,2019
3126,Fred VanVleet,Tor,G,26.63,11,39.1,81.4,22.9,9.9,25,0.84,80,0.413,110,0.391,0.537,19.6,4.4,6,6.9,28.4,1.64,0.64,8.6,2019
3127,Gabe Vincent,Mia,G,24.33,1,0.3,0.6,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2019
3128,Noah Vonleh,Den,F,25.13,1,3.1,6.5,14.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019
3129,Nikola Vucevic,Orl,C,29.97,5,36.9,77,29.8,10.1,11,0.909,67,0.567,44,0.409,0.604,28,11,15.3,4,23,0.8,0.6,11.6,2019
3130,Dion Waiters,Lal,G,28.84,5,7.6,15.8,16,7.2,2,1,8,0.5,4,0,0.388,2,0.4,3.1,0.4,7.1,0.2,0.2,3.6,2019
3131,Kemba Walker,Bos,G,30.43,17,36.9,76.9,23,9.9,81,0.852,130,0.569,126,0.31,0.573,19.6,4.1,6.2,5.1,22.5,0.88,0.41,8.1,2019
3132,Brad Wanamaker,Bos,G,31.22,17,16,33.4,13.9,21.2,16,0.875,33,0.515,27,0.444,0.626,4.9,2,7,1.8,16.1,0.71,0.29,6.5,2019
3133,T.J. Warren,Ind,F,27.1,4,39.1,81.4,24.4,13.3,9,1,49,0.51,19,0.368,0.556,20,6.3,9.4,3,13.8,2.25,0.25,7.4,2019
3134,Tremont Waters,Bos,G,22.75,1,2.4,5,18.6,0,0,0,0,0,1,0,0,0,1,23.4,1,52.8,0,0,0,2019
3135,Paul Watson,Tor,G,25.78,2,4.4,9.1,10.1,0,0,0,2,0.5,0,0,0.5,1,0,0,0.5,16.8,0.5,0,0,2019
3136,Russell Westbrook,Hou,G,31.91,8,32.7,68.2,31.5,16.3,32,0.531,107,0.477,33,0.242,0.464,17.9,7,11.9,4.6,25.8,1.5,0.25,10.2,2019
3137,Hassan Whiteside,Por,C,31.33,5,21.2,44.2,14.2,16.6,14,0.5,23,0.522,1,1,0.564,6.8,7,17.4,0.4,2.9,0.2,2,5,2019
3138,Robert Williams III,Bos,C-F,22.99,13,11.5,23.9,12.2,17.2,6,0.333,30,0.767,1,0,0.713,3.7,3.9,19.2,0.8,10.6,0.23,0.46,7.9,2019
3139,Nigel Williams-Goss,Uta,G,26.07,1,2.4,5,0,,0,0,0,0,0,0,,0,0,0,1,50.9,0,0,0,2019
3140,Grant Williams,Bos,F,21.87,17,10,20.8,9.1,11.6,10,0.7,9,0.556,17,0.588,0.773,2.8,1.5,8.6,0.4,5,0.12,0.29,4.8,2019
3141,Lou Williams,Lac,G,33.96,13,26.2,54.7,23.5,11.5,37,0.811,95,0.526,51,0.235,0.511,12.8,3.2,6.7,4.2,24.3,0.69,0.15,8.5,2019
3142,Marvin Williams,Mil,F,34.32,10,17.9,37.2,12.4,5.8,3,1,24,0.458,23,0.435,0.569,5.5,4.8,14.4,0.9,7.1,0.5,0.3,6.4,2019
3143,Delon Wright,Dal,G,28.46,4,13.3,27.7,13.9,29.1,5,0.6,8,0.625,2,0.5,0.656,4,0.8,3.1,1.8,17.5,1.25,0,5.4,2019
3144,Ivica Zubac,Lac,C,23.57,13,24.6,51.3,14.5,11.3,37,0.811,78,0.564,0,0,0.626,9.1,7.2,16.2,0.6,3.5,0.15,0.77,5.5,2019
3145,Precious Achiuwa,Mia,F,21.66,61,12.1,25.2,19.5,13.5,110,0.509,227,0.546,1,0,0.55,5,3.4,16.1,0.5,6.1,0.33,0.46,6.7,2020
3146,Jaylen Adams,Mil,G,25.03,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.3,0.4,8.7,0.3,12.6,0,0,5.1,2020
3147,Steven Adams,Nor,C,27.83,58,27.7,57.6,11.7,17.7,135,0.444,305,0.62,3,0,0.596,7.6,8.9,17.4,1.9,9.1,0.93,0.66,7.3,2020
3148,Bam Adebayo,Mia,C-F,23.83,64,33.5,69.7,23.7,15,354,0.799,792,0.573,8,0.25,0.626,18.7,9,15.3,5.4,26.9,1.17,1.03,11.6,2020
3149,LaMarcus Aldridge,San,C-F,35.83,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,7.3,2020
3150,LaMarcus Aldridge,Bro,C-F,35.83,5,26,54.3,19.9,11.8,10,1,43,0.488,5,0.8,0.611,12.8,4.8,10.2,2.6,14.3,0.6,2.2,8.3,2020
3151,Ty-Shon Alexander,Pho,G,22.84,15,3.2,6.6,14.9,18.9,2,0.5,3,0.333,9,0.222,0.349,0.6,0.7,11.9,0.4,15.2,0,0.07,6.9,2020
3152,Nickeil Alexander-Walker,Nor,G,22.7,46,21.9,45.6,23.2,12.4,66,0.727,239,0.485,219,0.347,0.522,11,3.1,7.8,2.2,14.7,1.02,0.48,7.7,2020
3153,Grayson Allen,Mem,G,25.61,50,25.2,52.5,16.8,9.6,91,0.868,140,0.471,274,0.391,0.586,10.6,3.2,6.7,2.2,11.5,0.92,0.16,6.7,2020
3154,Jarrett Allen,Bro,C,23.07,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,8.8,2020
3155,Jarrett Allen,Cle,C,23.07,51,30.3,63.1,16.8,13.1,229,0.69,398,0.623,19,0.316,0.649,13.2,9.9,18.3,1.7,8.8,0.47,1.41,8,2020
3156,Al-Farouq Aminu,Orl,F,30.65,17,21.6,44.9,14.3,20.6,17,0.824,58,0.5,31,0.226,0.482,5.5,5.4,12.9,1.7,11.4,1,0.53,6.8,2020
3157,Al-Farouq Aminu,Chi,F,30.65,6,11.2,23.4,9.8,19.7,5,0.8,4,0.25,6,0.167,0.369,1.5,3.2,15.6,0.3,3.5,0.33,0,4,2020
3158,Kyle Anderson,Mem,F-G,27.66,69,27.4,57,18.5,10.4,184,0.783,397,0.539,261,0.36,0.578,12.4,5.7,11.1,3.6,18.3,1.22,0.83,9.3,2020
3159,Giannis Antetokounmpo,Mil,F,26.44,61,33,68.7,32.5,13.2,581,0.685,879,0.636,221,0.303,0.633,28.1,11,17.5,5.9,28.7,1.18,1.21,14.8,2020
3160,Kostas Antetokounmpo,Lal,F,23.49,15,3.7,7.8,20.8,41.2,13,0.462,10,0.3,0,0,0.382,0.8,1.3,19.1,0.1,2.3,0.13,0.27,5.1,2020
3161,Thanasis Antetokounmpo,Mil,F,28.83,57,9.7,20.1,15.3,21.3,49,0.51,108,0.556,29,0.241,0.523,2.9,2.2,11.8,0.8,10.3,0.39,0.18,7.1,2020
3162,Carmelo Anthony,Por,F,36.97,69,24.5,51,23.1,6.7,156,0.891,452,0.429,325,0.409,0.548,13.4,3.1,6.8,1.5,9.2,0.67,0.55,6.5,2020
3163,Cole Anthony,Orl,G,21,47,27.1,56.4,24.3,14.8,131,0.832,380,0.424,172,0.337,0.496,12.9,4.7,9,4.1,24.2,0.64,0.38,9.3,2020
3164,OG Anunoby,Tor,F,23.83,43,33.3,69.4,19.2,11.8,102,0.784,257,0.564,261,0.398,0.606,15.9,5.5,9.1,2.2,10.1,1.53,0.72,6.9,2020
3165,Ryan Arcidiacono,Chi,G,27.14,44,10.2,21.3,13.1,7.4,20,0.65,50,0.48,67,0.373,0.541,3.1,1.5,8.2,1.3,16.3,0.2,0,7.1,2020
3166,Trevor Ariza,Mia,F,35.88,30,28,58.4,15.1,7.5,44,0.773,98,0.5,143,0.35,0.542,9.4,4.8,9.8,1.8,9.4,1,0.6,6.2,2020
3167,D.J. Augustin,Mil,G,33.52,37,19.3,40.1,14.3,14,40,0.9,63,0.349,129,0.38,0.542,6.1,1.4,3.7,3,18.6,0.54,0.03,6.1,2020
3168,D.J. Augustin,Hou,G,33.52,20,20.8,43.4,21,15.1,54,0.907,63,0.476,88,0.386,0.604,10.6,2.2,5.6,3.9,28.3,0.4,0,8.6,2020
3169,Deni Avdija,Was,F,20.37,54,23.3,48.5,12,9,45,0.644,144,0.535,168,0.315,0.515,6.3,4.8,11,1.2,6.3,0.59,0.28,5.7,2020
3170,Deandre Ayton,Pho,C,22.82,69,30.6,63.8,18.2,11.8,173,0.769,667,0.639,20,0.2,0.653,14.4,10.5,19.5,1.4,6.8,0.59,1.17,7.8,2020
3171,Udoka Azubuike,Uta,C-F,21.66,15,3.8,7.9,12.4,18.3,10,0.8,9,0.444,0,0,0.597,1.1,0.9,12.1,0,0,0.07,0.27,0,2020
3172,Dwayne Bacon,Orl,G-F,25.71,72,25.7,53.6,19.8,5.3,176,0.824,519,0.449,207,0.285,0.49,10.9,3.1,6.3,1.3,7.9,0.61,0.07,5.5,2020
3173,Marvin Bagley III,Sac,F,22.18,43,25.9,53.9,23.5,9.7,134,0.575,382,0.55,108,0.343,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,7.3,2020
3174,LaMelo Ball,Cha,G,19.74,51,28.8,60,26.1,16.3,165,0.758,411,0.489,261,0.352,0.539,15.7,5.9,11.1,6.1,33.9,1.59,0.35,11.5,2020
3175,Lonzo Ball,Nor,G,23.55,55,31.8,66.2,20.5,14.5,64,0.781,245,0.482,455,0.378,0.551,14.6,4.8,8.2,5.7,25.4,1.49,0.56,9.3,2020
3176,Mo Bamba,Orl,C,23.01,46,15.8,32.8,21.9,10.1,66,0.682,183,0.568,118,0.322,0.556,8,5.8,19,0.8,8.1,0.3,1.26,8.4,2020
3177,Desmond Bane,Mem,G,22.89,68,22.3,46.5,16.1,10.2,49,0.816,228,0.513,271,0.432,0.6,9.2,3.1,7.3,1.7,10.6,0.62,0.24,6.5,2020
3178,Harrison Barnes,Sac,F,28.96,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,7.9,2020
3179,RJ Barrett,Nyk,F-G,20.92,72,34.9,72.7,23.4,10.5,276,0.746,750,0.457,309,0.401,0.535,17.6,5.8,8.9,3,13.8,0.74,0.28,7.7,2020
3180,Will Barton,Den,G,30.36,56,31,64.6,19,12.7,121,0.785,351,0.459,257,0.381,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,7,2020
3181,Keita Bates-Diop,San,F,25.31,30,8.2,17,14.8,8.4,21,0.667,50,0.5,17,0.294,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,5.8,2020
3182,Nicolas Batum,Lac,G-F,32.42,67,27.4,57.1,11.8,10.8,58,0.828,141,0.574,271,0.406,0.617,8.1,4.7,9.7,2.2,10.5,1.03,0.55,6.4,2020
3183,Aron Baynes,Tor,C-F,34.44,53,18.5,38.5,16.2,12.5,41,0.707,200,0.535,103,0.262,0.505,6.1,5.2,15.3,0.9,7,0.3,0.43,6.6,2020
3184,Kent Bazemore,Gol,G-F,31.88,67,19.9,41.5,16.3,16.1,78,0.692,208,0.486,184,0.408,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,6.8,2020
3185,Darius Bazley,Okc,F-G,20.93,55,31.2,64.9,22,13.7,178,0.702,404,0.47,286,0.29,0.491,13.7,7.2,12,1.8,8.9,0.53,0.45,7.2,2020
3186,Bradley Beal,Was,G,27.89,60,35.8,74.5,34.1,10.6,459,0.889,1009,0.535,373,0.349,0.593,31.3,4.7,7,4.4,21.3,1.15,0.37,9.7,2020
3187,Malik Beasley,Min,G,24.47,37,32.8,68.4,24,8.6,80,0.85,279,0.487,321,0.399,0.57,19.6,4.4,7.2,2.4,11.6,0.81,0.19,7.2,2020
3188,Jordan Bell,Was,F,26.36,5,13.4,28,14.2,13,0,0,18,0.389,2,0,0.35,2.8,3.8,15,1,9.4,0.6,0.6,6.6,2020
3189,Jordan Bell,Gol,F,26.36,1,14.7,30.6,11.3,25.8,2,0.5,2,0,0,0,0.174,1,5,18.1,2,15.8,0,2,5.9,2020
3190,DeAndre' Bembry,Tor,G-F,26.87,51,19.1,39.7,14.6,21.6,66,0.682,175,0.589,53,0.264,0.57,5.7,2.9,8.3,2.1,15.5,1.04,0.35,6.8,2020
3191,Davis Bertans,Was,F,28.51,57,25.7,53.5,15.9,5.9,115,0.87,50,0.48,428,0.395,0.62,11.5,3,6.1,0.9,4.4,0.58,0.23,4.9,2020
3192,Patrick Beverley,Lac,G,32.84,37,22.5,46.9,14.6,12.4,45,0.8,79,0.468,141,0.397,0.58,7.5,3.2,8,2.1,12,0.76,0.76,6.6,2020
3193,Saddiq Bey,Det,F,22.1,70,27.3,56.8,18.7,7.3,147,0.844,232,0.448,460,0.38,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,6.3,2020
3194,Tyler Bey,Dal,F,23.26,18,3.9,8.2,16.9,11,5,0.6,18,0.333,4,0.25,0.372,1,1,14,0.2,5.6,0,0.06,6,2020
3195,Khem Birch,Orl,C,28.63,48,19.8,41.3,12.2,8.5,85,0.741,188,0.479,21,0.19,0.517,5.3,5.1,13.2,1.1,8,0.67,0.58,6.3,2020
3196,Khem Birch,Tor,C,28.63,19,30.4,63.3,15.8,9.9,44,0.636,140,0.614,31,0.29,0.596,11.9,7.5,13.6,1.9,9.4,0.89,1.16,7.3,2020
3197,Goga Bitadze,Ind,C-F,21.83,45,12.5,26,18,7.1,61,0.738,115,0.548,79,0.253,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,7.6,2020
3198,Bismack Biyombo,Cha,C,28.72,66,20.4,42.6,11.5,19.8,105,0.448,241,0.589,1,0,0.574,5,5.3,13.9,1.2,8.3,0.26,1.12,6.2,2020
3199,Nemanja Bjelica,Sac,F,33.02,26,16.9,35.2,19.3,14.3,42,0.762,92,0.565,58,0.293,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,8.8,2020
3200,Nemanja Bjelica,Mia,F,33.02,11,14.2,29.6,15.9,9.1,9,0.556,19,0.526,27,0.37,0.55,5,2.5,9.9,1.8,18.7,0.64,0.27,8,2020
3201,Eric Bledsoe,Nor,G,31.44,71,29.7,62,18.5,12.1,195,0.687,376,0.495,355,0.341,0.532,12.2,3.4,6.3,3.8,17.3,0.77,0.34,7.3,2020
3202,Keljin Blevins,Por,G,25.48,17,4.4,9.2,14.4,20,0,0,12,0.25,8,0.25,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,4,2020
3203,Bojan Bogdanovic,Uta,F,32.08,72,30.8,64.1,22.8,10.9,265,0.879,464,0.487,461,0.39,0.588,17,3.9,6.7,1.9,9.1,0.63,0.06,6.5,2020
3204,Bogdan Bogdanovic,Atl,G,28.74,44,29.7,61.8,21.3,8.5,44,0.909,232,0.522,333,0.438,0.616,16.4,3.6,6.7,3.3,17.6,1.11,0.3,7.8,2020
3205,Bol Bol,Den,C-F,21.5,32,5,10.4,21.2,16.8,15,0.667,34,0.471,24,0.375,0.534,2.2,0.8,8.5,0.2,6,0.09,0.31,5.6,2020
3206,Marques Bolden,Cle,C,23.08,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.537,1.2,1,11.7,0,0,0.33,0.33,0,2020
3207,Jordan Bone,Orl,G,23.53,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,4,1.7,6.4,1.3,13.6,0.14,0,5.9,2020
3208,Isaac Bonga,Was,G,21.52,40,10.8,22.5,10.2,20.7,8,0.625,34,0.5,47,0.277,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,4.7,2020
3209,Devin Booker,Pho,G,24.54,67,33.9,70.6,32.7,12.4,392,0.867,916,0.543,371,0.34,0.587,25.6,4.2,7,4.3,20.6,0.79,0.24,9.1,2020
3210,Chris Boucher,Tor,F-C,28.35,60,24.2,50.4,20.6,6.7,193,0.788,325,0.609,235,0.383,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,7.7,2020
3211,Brian Bowen II,Ind,F-G,22.62,5,2.8,5.9,13.4,0,1,1,3,0.333,1,0,0.338,0.6,0.6,11.5,0,0,0,0,0,2020
3212,Avery Bradley,Mia,G,30.47,10,21.1,43.9,16.9,11.4,9,0.778,28,0.536,38,0.421,0.607,8.5,1.8,4.9,1.4,10,0.7,0.1,5.3,2020
3213,Avery Bradley,Hou,G,30.47,17,23,47.9,13.8,15,6,0.833,42,0.381,63,0.27,0.409,5.2,2.3,5.3,1.9,11.2,0.82,0.18,4.9,2020
3214,Tony Bradley,Phi,C-F,23.35,20,14.4,29.9,12.8,7,11,0.636,74,0.689,1,0,0.683,5.5,5.2,19.9,0.9,8.7,0.3,0.65,8.2,2020
3215,Tony Bradley,Okc,C-F,23.35,22,18,37.5,18,16,44,0.705,120,0.667,2,0,0.676,8.7,6.1,17.7,0.9,8.4,0.41,0.77,8.1,2020
3216,Jarrell Brantley,Uta,F,24.94,28,4.9,10.3,19,13.1,2,1,24,0.542,28,0.429,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,8.6,2020
3217,Ignas Brazdeikis,Nyk,F,22.35,4,1.8,3.7,18.1,34.7,2,1,1,0,0,0,0.532,0.5,0.5,15.3,0.3,17.3,0,0,9.4,2020
3218,Ignas Brazdeikis,Phi,F,22.35,1,7.9,16.5,16.3,0,0,0,2,0,1,0,0,0,2,13.9,0,0,0,0,0,2020
3219,Ignas Brazdeikis,Orl,F,22.35,8,29.2,60.9,17.6,11.5,12,0.667,52,0.462,27,0.407,0.528,11.1,5.1,9.1,2,10.6,0.5,0.38,6.6,2020
3220,Miles Bridges,Cha,F,23.16,66,29.3,61,17.3,13.6,113,0.867,332,0.593,290,0.4,0.625,12.7,6,11.1,2.2,11.4,0.67,0.79,7.5,2020
3221,Mikal Bridges,Pho,F,24.71,72,32.6,67.9,14.9,7.4,131,0.84,353,0.649,315,0.425,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,6.1,2020
3222,Amida Brimah,Ind,C,27.26,5,5.9,12.2,19.4,30,3,1,8,0.625,0,0,0.697,2.6,1.6,14.8,0.2,4.7,0,1,6.4,2020
3223,Oshae Brissett,Ind,F-G,22.91,21,24.7,51.5,15.6,5.3,65,0.769,73,0.548,78,0.423,0.638,10.9,5.5,12,0.9,4.6,0.9,0.95,6.1,2020
3224,Malcolm Brogdon,Ind,G,28.43,56,34.5,71.8,25.9,9.8,177,0.864,606,0.493,374,0.388,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,10.1,2020
3225,Armoni Brooks,Hou,G,22.95,20,26,54.2,17.9,10,12,0.583,35,0.514,157,0.382,0.565,11.2,3.4,7,1.5,8.6,0.6,0.25,5.9,2020
3226,Dillon Brooks,Mem,G-F,25.32,67,29.8,62.1,26.1,9.6,195,0.815,659,0.461,372,0.344,0.515,17.2,2.9,5.2,2.3,11.7,1.16,0.39,6.5,2020
3227,Charlie Brown Jr.,Okc,G,23.29,9,16.9,35.1,14.9,11.2,10,0.9,22,0.364,21,0.238,0.422,4.4,1.9,5.8,1,8.2,0.44,0.22,4.8,2020
3228,Troy Brown Jr.,Was,G-F,21.8,21,13.7,28.5,16.1,14.3,15,0.667,43,0.442,46,0.304,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,6.5,2020
3229,Troy Brown Jr.,Chi,G-F,21.8,13,18.2,37.9,11.5,8,6,0.833,31,0.677,24,0.333,0.616,5.5,3.4,10.3,0.8,5.6,0.54,0.15,5.4,2020
3230,Bruce Brown,Bro,G-F,24.75,65,22.3,46.5,15.9,10.2,117,0.735,364,0.599,59,0.288,0.604,8.8,5.4,13.3,1.6,9.8,0.86,0.43,7.6,2020
3231,Jaylen Brown,Bos,G-F,24.56,58,34.5,71.8,29.7,11.5,250,0.764,701,0.535,410,0.398,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,9.2,2020
3232,Moses Brown,Okc,C,21.59,43,21.4,44.6,17,11.7,126,0.619,269,0.543,0,0,0.57,8.6,8.9,21.7,0.2,1.7,0.72,1.12,4.6,2020
3233,Sterling Brown,Hou,G-F,26.26,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,6.1,2020
3234,Jalen Brunson,Dal,G,24.71,68,25,52,20.2,10.3,151,0.795,427,0.578,200,0.405,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,8.5,2020
3235,Elijah Bryant,Mil,G,20,1,31.6,65.8,24.3,21.8,3,1,8,0.625,5,0.2,0.559,16,6,10,3,12.8,0,1,8.4,2020
3236,Thomas Bryant,Was,C-F,23.8,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,7.5,2020
3237,Reggie Bullock,Nyk,G-F,30.17,65,30,62.5,14.4,7.1,55,0.909,163,0.521,398,0.41,0.606,10.9,3.4,6.2,1.5,7.4,0.8,0.17,5.1,2020
3238,Trey Burke,Dal,G,28.51,62,14.7,30.6,19.9,8,57,0.895,189,0.492,164,0.354,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,5.4,2020
3239,Alec Burks,Nyk,G,29.83,49,25.6,53.3,21.4,8.2,118,0.856,254,0.425,246,0.415,0.564,12.7,4.6,9.8,2.2,13.2,0.63,0.29,7.9,2020
3240,Jimmy Butler,Mia,F,31.67,52,33.6,69.9,26.6,10.6,416,0.863,634,0.538,102,0.245,0.607,21.5,6.9,11.8,7.1,35.1,2.08,0.35,12.1,2020
3241,Bruno Caboclo,Hou,F,25.65,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,7.1,2020
3242,Devontae Cacok,Lal,F,24.6,20,4.9,10.2,16.9,10.6,11,0.455,29,0.586,0,0,0.576,2,1.6,17.8,0.1,1.5,0.25,0.2,5.6,2020
3243,Kentavious Caldwell-Pope,Lal,G,28.24,67,28.4,59.1,14.2,10.9,112,0.866,211,0.464,293,0.41,0.59,9.7,2.7,5.3,1.9,9.2,0.93,0.39,5.2,2020
3244,Facundo Campazzo,Den,G,30.15,65,21.9,45.7,13.1,17.1,91,0.879,99,0.444,216,0.352,0.558,6.1,2.1,5.3,3.6,20.2,1.22,0.22,6.5,2020
3245,Vlatko Cancar,Den,F,24.1,41,6.9,14.3,14.4,15.1,13,0.769,40,0.6,33,0.273,0.54,2.1,1.2,10.3,0.3,6.4,0.27,0.05,5.3,2020
3246,Devin Cannady,Orl,G,24.99,8,9.3,19.3,19.2,6,7,0.857,12,0.417,16,0.375,0.547,4.3,0.6,3.5,0.1,2.1,0.63,0.13,2.7,2020
3247,Clint Capela,Atl,C,27,63,30.1,62.8,19.9,8.4,227,0.573,696,0.595,0,0,0.602,15.2,14.3,26,0.8,4.1,0.7,2.05,7.4,2020
3248,Vernon Carey Jr.,Cha,F-C,20.22,19,6,12.6,17.2,10.9,11,0.818,29,0.586,7,0.143,0.563,2.4,1.4,12.8,0.1,2.6,0.05,0.26,4.6,2020
3249,Wendell Carter Jr.,Chi,C-F,22.09,32,24.7,51.5,19.2,14,111,0.739,230,0.526,22,0.364,0.578,10.9,7.8,17.4,2.2,12.3,0.56,0.75,9.3,2020
3250,Wendell Carter Jr.,Orl,C-F,22.09,22,26.5,55.3,19.5,11,68,0.721,176,0.534,29,0.241,0.549,11.7,8.8,17.2,1.6,9.7,0.77,0.82,8.3,2020
3251,Jevon Carter,Pho,G,25.67,60,11.9,24.9,15,6.6,7,0.571,72,0.528,151,0.371,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,6.5,2020
3252,Michael Carter-Williams,Orl,G,29.6,31,25.8,53.7,20.2,18.4,80,0.613,209,0.431,61,0.246,0.449,8.8,4.5,9,4.1,24.1,0.81,0.55,8.5,2020
3253,Alex Caruso,Lal,G,27.21,58,21,43.7,14.8,18.3,76,0.645,168,0.464,137,0.401,0.547,6.4,2.9,7.8,2.8,18.1,1.1,0.26,7.1,2020
3254,Willie Cauley-Stein,Dal,C,27.75,53,17.1,35.6,12,11.8,78,0.628,171,0.667,11,0.091,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,6,2020
3255,Chris Chiozza,Bro,G,25.49,22,10.6,22,20.9,14.4,17,0.765,46,0.391,42,0.31,0.461,4,1.1,5.7,3,36.9,0.32,0.27,8.9,2020
3256,Marquese Chriss,Gol,F,23.87,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.412,6.5,6.5,25.9,1,11.2,0,1,10.4,2020
3257,Brandon Clarke,Mem,F-G,24.66,59,24,50,17.3,5.7,113,0.69,418,0.565,77,0.26,0.56,10.3,5.6,12.3,1.6,9.5,1.03,0.86,7.5,2020
3258,Gary Clark,Orl,F,26.5,35,18.2,37.9,10.3,11.2,10,0.8,23,0.391,108,0.287,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,4.7,2020
