"alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","sigma","lp__"
0.0571127592665778,0.155503395325533,0.255241447693262,0.176836562004911,-0.225523875576607,1.51973613505026,0.492883541476993,0.137495867868267,0.142124250748357,-1.23323566433794,-0.0477087558488354,6.12271213563039,-52145.5477753755
0.0603066186068265,0.19619511987249,0.256520361270755,0.203664819671084,-0.247714461174919,1.53129414166374,0.488871486606771,0.145149916956684,0.131635399550698,-1.1859359605714,-0.047759236709766,6.19226741018691,-52138.2608841256
0.0711760631516352,0.195882524723725,0.254762561968144,0.206052602117754,-0.260210706593784,1.5220131271735,0.49150703886093,0.143756754001081,0.132299443018566,-1.19763904516181,-0.0409369396956367,6.2123987291065,-52139.5210476093
0.0951037178368011,0.196146451100003,0.253411686881862,0.203874174047377,-0.242774591419386,1.53666304727817,0.490667376587718,0.152965399708273,0.123698045013477,-1.17352804180172,-0.0349633457082902,6.16886990647872,-52143.0633564876
0.105894449311307,0.246183313789038,0.258060738372604,0.217754133965041,-0.327631370493365,1.53009776456005,0.481496365673618,0.180033235999803,0.182576019326422,-1.13047606897045,-0.0543777454730121,6.14499114510183,-52146.1340769334
0.0627156783922922,0.230939370361493,0.256730935848955,0.208935992345603,-0.318010324614645,1.53824745898234,0.482515929036147,0.135220477792725,0.143924717116248,-1.15590432638406,-0.0556935265704162,6.20716935381482,-52143.0936765973
0.0398626993179647,0.238171925290406,0.259927524557416,0.209168371912608,-0.305353313792058,1.53775764077034,0.48717409506084,0.142910937937478,0.151902378371029,-1.16027540881816,-0.0589934121919837,6.22912917953464,-52140.7904269762
0.0473325113787523,0.22994370812422,0.257204373888159,0.210878059771208,-0.285498514103895,1.54781787910691,0.474370621982248,0.110025445099948,0.157703562997613,-1.18555540598809,-0.037588022038386,6.211162933496,-52145.5909082136
0.10492305681994,0.189727187232556,0.266250367392787,0.191578068741015,-0.255043119865924,1.52786953312919,0.48612283401927,0.181077544469111,0.127762633024854,-1.14899461169119,-0.0652442809106683,6.15611139870408,-52140.0150708914
0.00649203748962082,0.217650552427854,0.263925358168012,0.201647556484678,-0.299347517487832,1.54518203935216,0.47913585522117,0.17684809506624,0.148248740401344,-1.15934972069966,-0.0679133845087555,6.17687121414027,-52141.9983647477
0.169254836770044,0.204698169027346,0.255226060939175,0.212799033206388,-0.259517697384762,1.5147263879096,0.496317670734235,0.142745381842215,0.150997809903736,-1.16552109000697,-0.0271458905011315,6.19376223637673,-52139.9855584839
0.0110147977049296,0.20503863833531,0.264013185991171,0.185198305363631,-0.264534182235396,1.53926372572968,0.479264386290814,0.18404870321013,0.14308772244044,-1.16447306489227,-0.0811795812888061,6.16196198054907,-52141.024888422
0.0791896869119541,0.204344592634926,0.259190608489368,0.19383624384605,-0.263870993147542,1.54720523460575,0.486557453664096,0.138981776508965,0.13272027985149,-1.19609549148719,-0.0527245976489246,6.15854013719318,-52139.3854825867
0.112752831823668,0.192749743973574,0.255758643627846,0.184084054876277,-0.265452539090125,1.54881276282156,0.47658160122759,0.160246692290386,0.11716275882044,-1.20170113141727,-0.0645388634237147,6.1733922882123,-52141.3650426025
0.0643958936616959,0.208161949668332,0.270892349473203,0.204340686408618,-0.275565896928819,1.53767905235396,0.475640630090064,0.134481270138812,0.167953121775085,-1.19212193609503,-0.0497120080849334,6.18536498072735,-52140.6055597616
0.0888927291363393,0.180526827239639,0.262186139880867,0.184378381369993,-0.247614014236391,1.54552070221167,0.487238624523106,0.1752338103028,0.122511585394392,-1.18496096901782,-0.0536759728991914,6.14030124237177,-52140.7444433559
0.00680260934386519,0.189256009558323,0.258910403014188,0.189610730758868,-0.253310598603459,1.52839633407922,0.482747830733917,0.155920629659237,0.140265883008338,-1.17103585151383,-0.0619216132050811,6.18946222204749,-52139.4333530459
0.129860066586684,0.209991855342451,0.258290782785642,0.212336365200945,-0.273790737166588,1.5261520922285,0.483517517649131,0.150632450716075,0.151529734086738,-1.16641929288524,-0.0398273160566654,6.17705957981081,-52135.8293439172
0.116889004703194,0.207318850832976,0.25359203196826,0.200952101599809,-0.278827010093579,1.52807148148812,0.490645299682148,0.145492835909903,0.164769220248322,-1.17262098469618,-0.0532211694617493,6.14333711668309,-52138.3710087034
0.0303401134990436,0.201792824383214,0.267132857684343,0.199082106666336,-0.26399354417858,1.52553933870471,0.487933919060773,0.170537713335877,0.137432749480449,-1.17145319151711,-0.0436094497652077,6.20941788538975,-52139.5612371235
0.0669325064915128,0.202924483458293,0.258175744603625,0.208838196047605,-0.249656329819111,1.53067570025758,0.493850369450859,0.149757078813629,0.149197986074148,-1.18510221237741,-0.0264663415193638,6.17621637821684,-52139.4205205124
0.136322510816986,0.202580836255436,0.264304739415562,0.213552366587428,-0.270505877312189,1.51828553648948,0.485560331917123,0.149418666250306,0.147471664453774,-1.18220571467555,-0.018359150160691,6.15436397475346,-52141.0468840572
